Po Name,Zip,latitude,Pop2001,Area,zip2,State,longitude,Sumblkpop
MANITO,61546,40.4493,4438,104.66792,61546,IL,-89.7876,4427
MAPLETON,61547,40.6061,3879,23.62749,61547,IL,-89.7412,3853
METAMORA,61548,40.8036,9275,65.64469,61548,IL,-89.4068,9196
MORTON,61550,40.6068,16830,46.53742,61550,IL,-89.4333,16807
MOSSVILLE,61552,40.8172,197,0.37289,61552,IL,-89.5692,197
PEKIN,61554,40.5428,44473,77.96937,61554,IL,-89.6203,44688
PRINCEVILLE,61559,40.9142,2963,89.84139,61559,IL,-89.7786,2975
PUTNAM,61560,41.1894,823,57.97535,61560,IL,-89.4298,814
ROANOKE,61561,40.7927,2731,47.72621,61561,IL,-89.2343,2730
SAINT DAVID,61563,40.5177,14,2.58254,61563,IL,-90.0901,14
SPARLAND,61565,41.0178,1743,68.9566,61565,IL,-89.5299,1737
TOPEKA,61567,40.3686,1096,57.04731,61567,IL,-89.9227,1110
TREMONT,61568,40.4943,4342,72.30956,61568,IL,-89.48,4300
TRIVOLI,61569,40.6748,1270,37.78038,61569,IL,-89.8933,1280
WASHBURN,61570,40.9033,1724,56.39757,61570,IL,-89.2591,1733
WASHINGTON,61571,40.707,19540,61.55423,61571,IL,-89.4187,19700
YATES CITY,61572,40.7859,1163,58.49503,61572,IL,-90.0443,1173
PEORIA,61602,40.6806,726,1.09994,61602,IL,-89.6031,728
PEORIA,61603,40.7122,19355,5.05569,61603,IL,-89.5746,18975
PEORIA,61604,40.7062,32896,16.33167,61604,IL,-89.6575,33061
PEORIA,61605,40.6765,18494,4.45355,61605,IL,-89.633,18632
PEORIA,61606,40.6999,7890,1.24454,61606,IL,-89.6123,7906
PEORIA,61607,40.6279,10139,32.94209,61607,IL,-89.681,10198
CREVE COEUR,61610,40.6423,5416,4.10127,61610,IL,-89.5969,5457
EAST PEORIA,61611,40.713,24945,51.77777,61611,IL,-89.5345,24888
PEORIA,61614,40.7582,33408,12.52662,61614,IL,-89.5983,28001
PEORIA,61615,40.7796,19347,27.19237,61615,IL,-89.6337,19277
PEORIA,61616,40.7455,0,2.34573,61616,IL,-89.5721,6217
PEORIA,61625,40.6979,1751,0.03387,61625,IL,-89.616,1751
PEORIA,61635,40.7092,92,0.88673,61635,IL,-89.519,92
BLOOMINGTON,61701,40.4769,37395,11.0921,61701,IL,-88.9918,37058
BLOOMINGTON,61704,40.4632,37596,121.85018,61704,IL,-88.9826,36251
ANCHOR,61720,40.5295,375,36.50009,61720,IL,-88.517,376
ARMINGTON,61721,40.3612,657,30.24088,61721,IL,-89.3214,658
ARROWSMITH,61722,40.3952,834,78.20388,61722,IL,-88.6293,828
ATLANTA,61723,40.2586,2417,69.09214,61723,IL,-89.2587,2422
BELLFLOWER,61724,40.3299,659,41.94291,61724,IL,-88.5232,659
CARLOCK,61725,40.6206,1144,33.28405,61725,IL,-89.0978,1137
CHENOA,61726,40.7407,2927,107.60178,61726,IL,-88.7175,2915
CLINTON,61727,40.1456,10461,174.76468,61727,IL,-88.9517,10425
COLFAX,61728,40.5806,1456,73.22737,61728,IL,-88.6314,1441
CONGERVILLE,61729,40.621,893,21.90602,61729,IL,-89.1932,891
COOKSVILLE,61730,40.5346,435,33.7222,61730,IL,-88.7502,436
CROPSEY,61731,40.595,256,18.28627,61731,IL,-88.5168,256
